Elapsed time;Bytes Received per Second;Bytes Sent per Second
15:32:56,0;231.0;94.0
15:32:57,0;231.0;94.0
15:32:58,0;231.0;94.0
15:32:59,0;231.0;94.0
15:33:00,0;231.0;94.0
15:33:01,0;231.0;94.0
15:33:02,0;231.0;94.0
15:33:03,0;462.0;188.0
15:33:04,0;462.0;188.0
15:33:05,0;462.0;188.0
15:33:06,0;231.0;94.0
15:33:07,0;231.0;94.0
15:33:08,0;231.0;94.0
15:33:09,0;462.0;188.0
15:33:10,0;231.0;94.0
15:33:11,0;462.0;188.0
15:33:12,0;693.0;282.0
15:33:14,0;231.0;94.0
15:33:15,0;231.0;94.0
15:33:16,0;693.0;282.0
15:33:17,0;462.0;188.0
15:33:18,0;462.0;188.0
15:33:19,0;231.0;94.0
15:33:21,0;462.0;188.0
15:33:22,0;231.0;94.0
15:33:23,0;462.0;188.0
15:33:24,0;462.0;188.0
15:33:25,0;462.0;188.0
15:33:26,0;231.0;94.0
15:33:27,0;231.0;94.0
15:33:28,0;231.0;94.0
15:33:29,0;231.0;94.0
15:33:30,0;462.0;188.0
15:33:31,0;462.0;188.0
15:33:32,0;462.0;188.0
15:33:33,0;231.0;94.0
15:33:34,0;231.0;94.0
15:33:35,0;231.0;94.0
15:33:36,0;231.0;94.0
15:33:37,0;462.0;188.0
15:33:38,0;462.0;188.0
15:33:39,0;462.0;188.0
15:33:40,0;231.0;94.0
15:33:41,0;231.0;94.0
15:33:42,0;231.0;94.0
15:33:43,0;462.0;188.0
15:33:44,0;231.0;94.0
15:33:45,0;462.0;188.0
15:33:46,0;693.0;282.0
15:33:48,0;462.0;188.0
15:33:49,0;231.0;94.0
15:33:50,0;462.0;188.0
15:33:51,0;462.0;188.0
15:33:52,0;462.0;188.0
15:33:53,0;231.0;94.0
15:33:54,0;231.0;94.0
15:33:55,0;231.0;94.0
15:33:56,0;231.0;94.0
15:33:57,0;462.0;188.0
15:33:58,0;462.0;188.0
15:33:59,0;462.0;188.0
15:34:00,0;231.0;94.0
15:34:01,0;231.0;94.0
15:34:02,0;231.0;94.0
15:34:03,0;231.0;94.0
15:34:04,0;462.0;188.0
15:34:05,0;462.0;188.0
15:34:06,0;462.0;188.0
15:34:07,0;231.0;94.0
15:34:08,0;231.0;94.0
15:34:09,0;231.0;94.0
15:34:10,0;231.0;94.0
15:34:11,0;462.0;188.0
15:34:12,0;462.0;188.0
15:34:13,0;693.0;282.0
15:34:15,0;231.0;94.0
15:34:16,0;231.0;94.0
15:34:17,0;693.0;282.0
15:34:19,0;693.0;282.0
15:34:20,0;462.0;188.0
15:34:22,0;231.0;94.0
15:34:23,0;462.0;188.0
15:34:24,0;462.0;188.0
15:34:25,0;462.0;188.0
15:34:26,0;462.0;188.0
15:34:27,0;231.0;94.0
15:34:29,0;462.0;188.0
15:34:30,0;231.0;94.0
15:34:31,0;462.0;188.0
15:34:32,0;462.0;188.0
15:34:33,0;462.0;188.0
15:34:34,0;231.0;94.0
15:34:35,0;231.0;94.0
15:34:36,0;231.0;94.0
15:34:37,0;231.0;94.0
15:34:38,0;462.0;188.0
15:34:39,0;462.0;188.0
15:34:40,0;462.0;188.0
15:34:41,0;231.0;94.0
15:34:42,0;231.0;94.0
15:34:43,0;231.0;94.0
15:34:44,0;231.0;94.0
15:34:45,0;462.0;188.0
15:34:46,0;462.0;188.0
15:34:47,0;693.0;282.0
15:34:49,0;231.0;94.0
15:34:50,0;231.0;94.0
15:34:51,0;693.0;282.0
15:34:53,0;924.0;376.0
15:34:54,0;231.0;94.0
15:34:56,0;231.0;94.0
15:34:57,0;462.0;188.0
15:34:58,0;462.0;188.0
15:34:59,0;462.0;188.0
15:35:00,0;462.0;188.0
15:35:01,0;231.0;94.0
15:35:03,0;462.0;188.0
15:35:04,0;231.0;94.0
15:35:05,0;462.0;188.0
15:35:06,0;462.0;188.0
15:35:07,0;462.0;188.0
15:35:08,0;231.0;94.0
15:35:09,0;231.0;94.0
15:35:10,0;231.0;94.0
15:35:11,0;231.0;94.0
15:35:12,0;231.0;94.0
15:35:13,0;231.0;94.0
15:35:14,0;231.0;94.0
